iter	Passed	Remaining
459	802	942
460	804	940
461	805	938
462	806	935
463	807	933
464	809	931
465	810	928
466	811	926
467	812	924
468	814	921
469	815	919
470	816	916
471	817	914
472	818	912
473	819	909
474	820	907
475	821	904
476	822	902
477	823	899
478	825	897
479	826	895
480	827	892
481	829	891
482	831	889
483	832	887
484	833	885
485	834	882
486	835	880
487	836	878
488	838	875
489	839	873
490	840	871
491	841	869
492	843	867
493	845	865
494	847	864
495	848	861
496	849	859
497	850	857
498	851	855
499	852	852
500	854	851
501	856	849
502	857	846
503	858	845
504	859	842
505	860	840
506	862	838
507	863	836
508	864	833
509	865	831
510	866	829
511	867	827
512	869	825
513	870	822
514	871	820
515	872	818
516	874	816
517	875	814
518	876	812
519	877	810
520	878	808
521	879	805
522	881	803
523	882	801
524	883	799
525	885	797
526	886	795
527	888	793
528	889	791
529	891	790
530	892	788
531	893	786
532	894	783
533	896	782
534	897	779
535	898	777
536	899	775
537	900	773
538	901	771
539	903	769
540	904	767
541	905	765
542	906	763
543	908	761
544	909	759
545	910	757
546	912	755
547	913	753
548	914	751
549	915	749
550	917	747
551	919	745
552	920	743
553	921	741
554	922	740
555	924	737
556	925	735
557	926	733
558	927	731
559	928	729
560	929	727
561	932	726
562	933	724
563	935	722
564	936	721
565	938	719
566	939	717
567	940	715
568	941	713
569	942	711
570	943	709
571	945	707
572	946	705
573	948	703
574	949	701
575	950	699
576	951	697
577	952	695
578	953	693
579	955	691
580	956	689
581	957	687
582	958	685
583	959	683
584	961	681
585	962	680
586	964	678
587	965	676
588	966	674
589	967	672
590	968	670
591	969	668
592	970	666
593	972	664
594	973	662
595	974	660
596	977	660
597	980	658
598	981	656
599	982	654
600	983	652
601	984	650
602	985	649
603	987	647
604	988	645
605	989	643
606	991	642
607	993	640
608	995	638
609	996	636
610	997	635
611	998	633
612	999	631
613	1001	629
614	1002	627
615	1003	625
616	1005	624
617	1007	622
618	1008	620
619	1009	618
620	1010	616
621	1011	614
622	1013	613
623	1014	611
624	1015	609
625	1017	607
626	1018	606
627	1020	604
628	1022	602
629	1023	600
630	1024	599
631	1025	597
632	1026	595
633	1027	593
634	1028	591
635	1029	589
636	1030	587
637	1031	585
638	1033	583
639	1035	582
640	1036	580
641	1037	578
642	1038	576
643	1039	574
644	1040	572
645	1042	571
646	1043	569
647	1044	567
648	1045	565
649	1046	563
650	1048	561
651	1049	560
652	1051	558
653	1052	556
654	1053	554
655	1054	553
656	1055	551
657	1057	549
658	1058	547
659	1059	545
660	1060	543
661	1062	542
662	1063	540
663	1065	539
664	1066	537
665	1068	535
666	1069	533
667	1070	532
668	1071	530
669	1073	528
670	1074	526
671	1075	524
672	1076	523
673	1078	521
674	1079	519
675	1080	517
676	1081	515
677	1082	514
678	1084	512
679	1085	510
680	1086	508
681	1087	507
682	1088	505
683	1090	503
684	1091	502
685	1093	500
686	1094	498
687	1095	496
688	1096	495
689	1097	493
690	1099	491
691	1100	489
692	1101	487
693	1102	485
694	1103	484
695	1104	482
696	1105	480
697	1107	479
698	1109	477
699	1110	476
700	1111	474
701	1112	472
702	1113	470
703	1114	468
704	1115	466
705	1116	465
706	1117	463
707	1118	461
708	1120	459
709	1121	458
710	1122	456
711	1123	454
712	1124	452
713	1126	451
714	1127	449
715	1128	447
716	1129	445
717	1130	443
718	1131	442
719	1132	440
720	1133	438
721	1134	436
722	1137	435
723	1138	433
724	1139	432
725	1140	430
726	1142	428
727	1143	427
728	1144	425
729	1145	423
730	1146	421
731	1147	420
732	1148	418
733	1150	417
734	1152	415
735	1154	413
736	1155	412
737	1156	410
738	1157	408
739	1158	407
740	1159	405
741	1160	403
742	1162	401
743	1163	400
744	1164	398
745	1166	397
746	1167	395
747	1168	393
748	1169	392
749	1171	390
750	1172	388
751	1173	387
752	1174	385
753	1175	383
754	1176	381
755	1177	380
756	1180	378
757	1182	377
758	1183	375
759	1184	374
760	1185	372
761	1186	370
762	1187	368
763	1188	367
764	1189	365
765	1190	363
766	1192	362
767	1194	360
768	1195	359
769	1197	357
770	1198	355
771	1199	354
772	1200	352
773	1201	350
774	1202	349
775	1203	347
776	1204	345
777	1206	344
778	1207	342
779	1209	341
780	1210	339
781	1212	337
782	1213	336
783	1214	334
784	1215	332
785	1216	331
786	1217	329
787	1218	327
788	1219	326
789	1220	324
790	1222	323
791	1224	321
792	1226	320
793	1227	318
794	1228	316
795	1229	315
796	1230	313
797	1232	311
798	1233	310
799	1234	308
800	1235	306
801	1236	305
802	1238	303
803	1239	302
804	1241	300
805	1242	299
806	1243	297
807	1244	295
808	1245	294
809	1246	292
810	1248	290
811	1249	289
812	1250	287
813	1251	286
814	1253	284
815	1254	282
816	1255	281
817	1256	279
818	1257	277
819	1258	276
820	1259	274
821	1260	273
822	1262	271
823	1263	269
824	1264	268
825	1265	266
826	1266	265
827	1269	263
828	1270	262
829	1271	260
830	1272	258
831	1273	257
832	1275	255
833	1276	254
834	1277	252
835	1278	250
836	1279	249
837	1280	247
838	1282	246
839	1284	244
840	1285	243
841	1286	241
842	1287	239
843	1289	238
844	1290	236
845	1291	235
846	1292	233
847	1293	231
848	1295	230
849	1297	228
850	1298	227
851	1299	225
852	1300	224
853	1302	222
854	1303	221
855	1304	219
856	1305	217
857	1306	216
858	1307	214
859	1308	213
860	1310	211
861	1312	210
862	1313	208
863	1314	206
864	1315	205
865	1316	203
866	1317	202
867	1318	200
868	1320	198
869	1321	197
870	1322	195
871	1323	194
872	1324	192
873	1325	191
874	1327	189
875	1328	188
876	1329	186
877	1330	184
878	1331	183
879	1332	181
880	1333	180
881	1335	178
882	1336	177
883	1337	175
884	1338	173
885	1339	172
886	1340	170
887	1342	169
888	1343	167
889	1344	166
890	1345	164
891	1346	163
892	1348	161
893	1349	159
894	1350	158
895	1351	156
896	1352	155
897	1354	153
898	1356	152
899	1357	150
900	1358	149
901	1359	147
902	1360	146
903	1362	144
904	1363	143
905	1364	141
906	1365	140
907	1366	138
908	1367	136
909	1369	135
910	1371	134
911	1373	132
912	1374	130
913	1375	129
914	1376	127
915	1377	126
916	1378	124
917	1379	123
918	1380	121
919	1381	120
920	1383	118
921	1384	117
922	1385	115
923	1387	114
924	1388	112
925	1389	111
926	1390	109
927	1391	107
928	1392	106
929	1393	104
930	1394	103
931	1396	101
932	1398	100
933	1400	98
934	1401	97
935	1402	95
936	1403	94
937	1404	92
938	1405	91
939	1407	89
940	1408	88
941	1409	86
942	1410	85
943	1411	83
944	1413	82
945	1414	80
946	1416	79
947	1417	77
948	1418	76
949	1420	74
950	1421	73
951	1422	71
952	1423	70
953	1424	68
954	1426	67
955	1427	65
956	1428	64
957	1429	62
958	1430	61
959	1431	59
960	1432	58
961	1434	56
962	1435	55
963	1436	53
964	1437	52
965	1438	50
966	1439	49
967	1442	47
968	1444	46
969	1445	44
970	1446	43
971	1448	41
972	1449	40
973	1450	38
974	1451	37
975	1452	35
976	1453	34
977	1454	32
978	1456	31
979	1457	29
980	1460	28
981	1461	26
982	1462	25
983	1464	23
984	1465	22
985	1466	20
986	1467	19
987	1468	17
988	1469	16
989	1471	14
